unsat_SMILE,sat_SMILE,delta_H,nH2,pH2
C#CCC(C#C)C#N,CCCC(CC)CN,117.8875755,6,10.5040039
C#CCC(C#N)C#N,CCCC(CN)CN,91.44966567,6,10.41398429
O=CC(CC#C)C#C,OCC(CCC)CC,126.6551702,5,8.679159772
O=CC(CC#C)C#N,OCC(CCC)CN,99.4964731,5,8.60540408
O=CC(CC#N)C#C,OCC(CCN)CC,95.8680321,5,8.60540408
O=CC(CC#N)C#N,OCC(CCN)CN,65.6285733,5,8.532891379
N=CN(CC#C)C=O,NCN(CCC)CO,86.89289163,4,6.826313103
N=CN(CC#N)C=N,NCN(CCN)CN,60.38846913,4,6.825663921
N=CN(CC#N)C=O,NCN(CCN)CO,51.83459013,4,6.769272409
O=CC(CC#C)C=O,OCC(CCC)CO,105.4683041,4,6.826962409
O=CC(CC#N)C=O,OCC(CCN)CO,64.14555963,4,6.769910908
O=CN(CC#C)C=O,OCN(CCC)CO,87.81969313,4,6.769910908
O=CN(CC#N)C=O,OCN(CCN)CO,42.77924063,4,6.71380504
N=COC(C#C)C#C,NCOC(CC)CC,134.7873939,5,8.60540408
N=COC(C#C)C#N,NCOC(CC)CN,106.9639202,5,8.532891379
O=CCC(C#C)C#C,OCCC(CC)CC,129.4219221,5,8.679159772
O=CCC(C#C)C#N,OCCC(CC)CN,98.382736,5,8.60540408
O=CNC(C#C)C#C,OCNC(CC)CC,116.1563208,5,8.60540408
O=COC(C#C)C#C,OCOC(CC)CC,126.8400054,5,8.533703011
O=COC(C#C)C#N,OCOC(CC)CN,99.4628667,5,8.462388635
N=COC(C=O)C#C,NCOC(CO)CC,112.2998551,4,6.769910908
N=COC(C=O)C#N,NCOC(CO)CN,78.03051637,4,6.71380504
O=CCC(C=O)C#C,OCCC(CO)CC,106.7462663,4,6.826962409
O=CCC(C=O)C#N,OCCC(CO)CN,70.04834,4,6.769910908
O=CNC(C=O)C#C,OCNC(CO)CC,89.52823725,4,6.769910908
O=COC(C=O)C#C,OCOC(CO)CC,101.3738369,4,6.714433117
O=COC(C=O)C#N,OCOC(CO)CN,69.22196388,4,6.659239281
CC#CC(C#C)C#N,CCCC(CC)CN,118.9338373,6,10.5040039
CC#CC(C=O)C#C,CCCC(CO)CC,126.8604843,5,8.679159772
CC#CC(C=O)C#N,CCCC(CO)CN,96.5275577,5,8.60540408
CN=C(NC=N)C#N,CNC(NCN)CN,61.38287725,4,6.825663921
CN=C(NC=O)C#C,CNC(NCO)CC,92.123544,4,6.826313103
CN=C(OC=O)C#C,CNC(OCO)CC,94.66174613,4,6.769910908
CN=C(OC=O)C#N,CNC(OCO)CN,60.77835588,4,6.71380504
NC=NC(C=O)C#N,NCNC(CO)CN,63.02972212,4,6.769272409
CC#CC(CO)C#N,CCCC(CO)CN,98.72208188,4,6.884323264
CCC(C#C)C#CC,CCC(CC)CCC,136.069163,4,7.063728906
CCC(C#N)C#CC,CCC(CN)CCC,98.02238612,4,7.002669265
CNC(C#N)C#CC,CNC(CN)CCC,100.1339445,4,6.94265619
COC(C#C)C#CC,COC(CC)CCC,145.4349779,4,6.943327818
COC(C#N)C#CC,COC(CN)CCC,105.1394603,4,6.884323264
CCC(CC#C)C#C,CCC(CCC)CC,137.644463,4,7.063728906
CCC(CC#C)C#N,CCC(CCC)CN,98.42671313,4,7.002669265
CCC(CC#N)C#C,CCC(CCN)CC,97.50384988,4,7.002669265
CCC(CC#N)C#N,CCC(CCN)CN,59.5804715,4,6.94265619
CNC(CC#C)C#N,CNC(CCC)CN,99.10540488,4,6.94265619
CNC(CC#N)C#C,CNC(CCN)CC,102.4535738,4,6.94265619
CNC(CC#N)C#N,CNC(CCN)CN,58.942475,4,6.883663002
COC(CC#C)C#C,COC(CCC)CC,144.3690249,4,6.943327818
COC(CC#C)C#N,COC(CCC)CN,102.7712593,4,6.884323264
COC(CC#N)C#C,COC(CCN)CC,103.1092924,4,6.884323264
COC(CC#N)C#N,COC(CCN)CN,65.54166925,4,6.826313103
NCC(CC#N)C#N,NCC(CCN)CN,61.47411338,4,6.883663002
OCC(CC#C)C#C,OCC(CCC)CC,138.9486801,4,6.943327818
OCC(CC#C)C#N,OCC(CCC)CN,104.2566359,4,6.884323264
OCC(CC#N)C#C,OCC(CCN)CC,99.01351237,4,6.884323264
OCC(CC#N)C#N,OCC(CCN)CN,61.78786062,4,6.826313103
CCCC(C#C)C#N,CCCC(CC)CN,103.3954719,4,7.002669265
CCCC(C#N)C#N,CCCC(CN)CN,62.8308405,4,6.94265619
CCNC(C#C)C#N,CCNC(CC)CN,106.3530976,4,6.94265619
CCNC(C#N)C#N,CCNC(CN)CN,68.2078645,4,6.883663002
CCOC(C#C)C#N,CCOC(CC)CN,110.0983734,4,6.884323264
CCOC(C#N)C#N,CCOC(CN)CN,74.02269062,4,6.826313103
COCC(C#C)C#C,COCC(CC)CC,144.5114583,4,6.943327818
COCC(C#C)C#N,COCC(CC)CN,106.527037,4,6.884323264
OCCC(C#C)C#C,OCCC(CC)CC,143.8288283,4,6.943327818
OCCC(C#C)C#N,OCCC(CC)CN,103.8240848,4,6.884323264
CC(=O)C(C#C)C#C,CC(O)C(CC)CC,127.5761956,5,8.679159772
CC(=O)C(C#C)C#N,CC(O)C(CC)CN,95.1213399,5,8.60540408
CC(=O)C(C#N)C#N,CC(O)C(CN)CN,65.595492,5,8.532891379
NC(=O)C(C#C)C#C,NC(O)C(CC)CC,117.286336,5,8.60540408
CC(=O)C(C=O)C#C,CC(O)C(CO)CC,103.8569035,4,6.826962409
NC(=O)C(C=O)C#C,NC(O)C(CO)CC,93.09366625,4,6.769910908
CC(C)C(C#C)C#C,CC(C)C(CC)CC,141.8597032,4,7.063728906
CC(C)C(C#C)C#N,CC(C)C(CC)CN,100.2113968,4,7.002669265
CC(C)C(C#N)C#N,CC(C)C(CN)CN,63.53316175,4,6.94265619
CC(O)C(C#C)C#C,CC(O)C(CC)CC,140.3447898,4,6.943327818
CC(O)C(C#C)C#N,CC(O)C(CC)CN,102.4122221,4,6.884323264
CN(C)C(C#C)C#N,CN(C)C(CC)CN,108.4265862,4,6.94265619
CN(C)C(C#N)C#N,CN(C)C(CN)CN,67.02770225,4,6.883663002
C#CC1(CCC1)C#C,CCC1(CCC1)CC,143.6653909,4,7.190712007
C#CC1(CCC1)C#N,CCC1(CCC1)CN,103.8457451,4,7.127447153
C#CC1(CCN1)C#N,CCC1(CCN1)CN,108.5020694,4,7.065285816
C#CC1(CCO1)C#C,CCC1(CCO1)CC,152.368267,4,7.06598138
C#CC1(CCO1)C#N,CCC1(CCO1)CN,114.8065513,4,7.00488296
C#CC1(CNC1)C#N,CCC1(CNC1)CN,105.5549456,4,7.065285816
C#CC1(COC1)C#C,CCC1(COC1)CC,147.5983899,4,7.06598138
C#CC1(COC1)C#N,CCC1(COC1)CN,107.4945338,4,7.00488296
N#CC1(CCC1)C#N,NCC1(CCC1)CN,68.35357975,4,7.065285816
N#CC1(CCN1)C#N,NCC1(CCN1)CN,74.30755737,4,7.004199372
N#CC1(CCO1)C#N,NCC1(CCO1)CN,78.91596625,4,6.944832099
N#CC1(CNC1)C#N,NCC1(CNC1)CN,69.05458825,4,7.004199372
N#CC1(COC1)C#N,NCC1(COC1)CN,73.01318587,4,6.944832099
C#CC1(CC#N)CC1,CCC1(CCN)CC1,99.994793,4,7.127447153
C#CC1(CC#N)CN1,CCC1(CCN)CN1,100.9051851,4,7.065285816
C#CC1(CC#N)CO1,CCC1(CCN)CO1,106.4233298,4,7.00488296
C#CCC1(CC1)C#C,CCCC1(CC1)CC,139.844632,4,7.190712007
C#CCC1(CC1)C#N,CCCC1(CC1)CN,99.82479188,4,7.127447153
C#CCC1(CN1)C#C,CCCC1(CN1)CC,143.8531141,4,7.127447153
C#CCC1(CN1)C#N,CCCC1(CN1)CN,107.792528,4,7.065285816
C#CCC1(CO1)C#C,CCCC1(CO1)CC,146.92298,4,7.06598138
C#CCC1(CO1)C#N,CCCC1(CO1)CN,106.9353023,4,7.00488296
N#CCC1(CC1)C#N,NCCC1(CC1)CN,59.99201863,4,7.065285816
N#CCC1(CN1)C#N,NCCC1(CN1)CN,66.81175487,4,7.004199372
N#CCC1(CO1)C#N,NCCC1(CO1)CN,70.98367437,4,6.944832099
CC#CC1(CC1)C#C,CCCC1(CC1)CC,137.4541143,4,7.190712007
CC#CC1(CC1)C#N,CCCC1(CC1)CN,97.42902313,4,7.127447153
CC#CC1(CN1)C#C,CCCC1(CN1)CC,141.3562636,4,7.127447153
CC#CC1(CN1)C#N,CCCC1(CN1)CN,105.340311,4,7.065285816
CC#CC1(CO1)C#C,CCCC1(CO1)CC,146.1136696,4,7.06598138
CC#CC1(CO1)C#N,CCCC1(CO1)CN,106.117459,4,7.00488296
CC1CC1(C#C)C#C,CC1CC1(CC)CC,141.2177685,4,7.190712007
CC1CC1(C#C)C#N,CC1CC1(CC)CN,101.2681605,4,7.127447153
CC1CC1(C#N)C#N,CC1CC1(CN)CN,65.48719013,4,7.065285816
CC1NC1(C#C)C#C,CC1NC1(CC)CC,146.9571115,4,7.127447153
CC1NC1(C#C)C#N,CC1NC1(CC)CN,107.1387785,4,7.065285816
CC1NC1(C#N)C#N,CC1NC1(CN)CN,72.51434088,4,7.004199372
CC1OC1(C#C)C#C,CC1OC1(CC)CC,150.1346229,4,7.06598138
CC1OC1(C#C)C#N,CC1OC1(CC)CN,112.0222085,4,7.00488296
CC1OC1(C#N)C#N,CC1OC1(CN)CN,77.46340838,4,6.944832099
CN1CC1(C#C)C#C,CN1CC1(CC)CC,143.5196756,4,7.127447153
CN1CC1(C#C)C#N,CN1CC1(CC)CN,105.4302344,4,7.065285816
CN1CC1(C#N)C#N,CN1CC1(CN)CN,67.33488575,4,7.004199372
NC1CC1(C#C)C#N,NC1CC1(CC)CN,100.2022075,4,7.065285816
NC1CC1(C#N)C#N,NC1CC1(CN)CN,64.7212005,4,7.004199372
OC1CC1(C#C)C#N,OC1CC1(CC)CN,105.4689605,4,7.00488296
OC1CC1(C#N)C#N,OC1CC1(CN)CN,67.80156837,4,6.944832099
C#CC1CC(C1)C#C,CCC1CC(C1)CC,142.8698644,4,7.190712007
C#CC1CC(C1)C#N,CCC1CC(C1)CN,101.3823697,4,7.127447153
C#CC1CC(N1)C#N,CCC1CC(N1)CN,103.7932351,4,7.065285816
C#CC1CC(O1)C#C,CCC1CC(O1)CC,150.262616,4,7.06598138
C#CC1CC(O1)C#N,CCC1CC(O1)CN,112.5768454,4,7.00488296
N#CC1CC(C1)C#N,NCC1CC(C1)CN,61.98739863,4,7.065285816
N#CC1CC(N1)C#N,NCC1CC(N1)CN,68.28466038,4,7.004199372
N#CC1CC(O1)C#N,NCC1CC(O1)CN,73.4903705,4,6.944832099
N=C1OC(C=C1)C#C,NC1OC(CC1)CC,116.4533961,4,7.00488296
O=C1CC(C=C1)C#C,OC1CC(CC1)CC,107.2208254,4,7.06598138
O=C1CC(C=C1)C#N,OC1CC(CC1)CN,68.110721,4,7.00488296
O=C1NC(C=C1)C#C,OC1NC(CC1)CC,99.62591025,4,7.00488296
O=C1OC(C=C1)C#C,OC1OC(CC1)CC,106.8099346,4,6.945504148
N=C1CN=C(N1)C#C,NC1CNC(N1)CC,98.73389663,4,7.004199372
N=C1CN=C(N1)C#N,NC1CNC(N1)CN,61.8173975,4,6.94416018
O=C1CC(=CN1)C#C,OC1CC(CN1)CC,90.22924575,4,7.00488296
O=C1CC(=CN1)C#N,OC1CC(CN1)CN,52.91563975,4,6.944832099
O=C1CC=C(C1)C#C,OC1CCC(C1)CC,104.9628954,4,7.06598138
O=C1CC=C(C1)C#N,OC1CCC(C1)CN,67.64994575,4,7.00488296
O=C1CC=C(N1)C#C,OC1CCC(N1)CC,93.92791888,4,7.00488296
O=C1CC=C(N1)C#N,OC1CCC(N1)CN,58.00385875,4,6.944832099
O=C1CN=C(N1)C#C,OC1CNC(N1)CC,87.019572,4,6.944832099
O=C1CN=C(O1)C#C,OC1CNC(O1)CC,95.40870087,4,6.886462756
N=C1OCC(=C1)C#C,NC1OCC(C1)CC,104.479147,4,7.00488296
N=C1OCC(=C1)C#N,NC1OCC(C1)CN,70.91147313,4,6.944832099
O=C1CCC(=C1)C#C,OC1CCC(C1)CC,101.1953029,4,7.06598138
O=C1CCC(=C1)C#N,OC1CCC(C1)CN,65.32309637,4,7.00488296
O=C1NCC(=C1)C#C,OC1NCC(C1)CC,90.1832995,4,7.00488296
N#CC#CC1CCC1,NCCCC1CCC1,97.080488,4,7.127447153
N#CC#CC1CCO1,NCCCC1CCO1,104.8480298,4,7.00488296
N#CC#CC1COC1,NCCCC1COC1,101.2478129,4,7.00488296
CC1CC1C#CC#C,CC1CC1CCCC,135.6720561,4,7.190712007
CC1CC1C#CC#N,CC1CC1CCCN,96.8573205,4,7.127447153
CC1NC1C#CC#C,CC1NC1CCCC,138.4472096,4,7.127447153
CC1NC1C#CC#N,CC1NC1CCCN,100.9163435,4,7.065285816
CC1OC1C#CC#C,CC1OC1CCCC,139.4107681,4,7.06598138
CC1OC1C#CC#N,CC1OC1CCCN,102.1982439,4,7.00488296
CN1CC1C#CC#C,CN1CC1CCCC,135.5644106,4,7.127447153
CN1CC1C#CC#N,CN1CC1CCCN,101.654109,4,7.065285816
OC1CC1C#CC#C,OC1CC1CCCC,135.5749126,4,7.06598138
OC1CC1C#CC#N,OC1CC1CCCN,98.90192862,4,7.00488296
C#CC#CC#CC#N,CCCCCCCN,118.4832358,8,14.00533853
N#CC#CC#CC#N,NCCCCCCN,102.4279751,8,13.88531238
C#CCC#CCC#N,CCCCCCCN,116.2545145,6,10.5040039
N#CCC#CCC#N,NCCCCCCN,89.88005425,6,10.41398429
C#CC#CCCC#N,CCCCCCCN,110.712084,6,10.5040039
C#CCCC#CC#N,CCCCCCCN,113.3669021,6,10.5040039
N#CCCC#CC#N,NCCCCCCN,87.02394783,6,10.41398429
C#CCCCCC#N,CCCCCCCN,98.92555812,4,7.002669265
C#CCCNCC#N,CCCCNCCN,102.6826486,4,6.94265619
C#CCCOCC#N,CCCCOCCN,103.6718058,4,6.884323264
C#CCNCCC#N,CCCNCCCN,99.59506063,4,6.94265619
C#CCOCCC#N,CCCOCCCN,103.3705296,4,6.884323264
N#CCCCCC#N,NCCCCCCN,58.15154312,4,6.94265619
N#CCCNCC#N,NCCCNCCN,60.27819813,4,6.883663002
N#CCCOCC#N,NCCCOCCN,64.89251438,4,6.826313103
O=CC#CC#CC#C,OCCCCCCC,127.5932989,7,12.15082368
O=CC#CC#CC#N,OCCCCCCN,108.6349384,7,12.04756571
O=CC#CCCC#C,OCCCCCCC,125.7903305,5,8.679159772
O=CC#CCCC#N,OCCCCCCN,93.9734713,5,8.60540408
O=CCC#CCC#C,OCCCCCCC,126.1358463,5,8.679159772
O=CCC#CCC#N,OCCCCCCN,94.4187561,5,8.60540408
O=CNC=NCC#C,OCNCNCCC,86.58045713,4,6.826313103
O=CNC=NCC#N,OCNCNCCN,45.60362225,4,6.769272409
O=COC=NCC#C,OCOCNCCC,93.3811585,4,6.769910908
O=COC=NCC#N,OCOCNCCN,55.42496138,4,6.71380504
N=COCC#CC#C,NCOCCCCC,127.7983129,5,8.60540408
N=COCC#CC#N,NCOCCCCN,97.3209838,5,8.532891379
O=CCCC#CC#C,OCCCCCCC,122.3288713,5,8.679159772
O=CCCC#CC#N,OCCCCCCN,93.6195539,5,8.60540408
O=CNCC#CC#C,OCNCCCCC,111.4708535,5,8.60540408
O=CNCC#CC#N,OCNCCCCN,81.9098239,5,8.532891379
O=COCC#CC#C,OCOCCCCC,115.8444114,5,8.533703011
O=COCC#CC#N,OCOCCCCN,87.9390221,5,8.462388635
N=COCC#CC=O,NCOCCCCO,109.2641208,4,6.769910908
O=CNCC#CC=O,OCNCCCCO,88.67954438,4,6.769910908
O=COCC#CC=O,OCOCCCCO,96.9045795,4,6.714433117
CC#CC#CCC#N,CCCCCCCN,109.9528769,6,10.5040039
CC#CCC#CC#N,CCCCCCCN,112.5665622,6,10.5040039
CC#CCCCC#N,CCCCCCCN,95.09757912,4,7.002669265
CC#CCNCC#N,CCCCNCCN,98.85992063,4,6.94265619
CCC#CC#CC#N,CCCCCCCN,109.7402114,6,10.5040039
OCC#CC#CC#C,OCCCCCCC,136.7837366,6,10.41499173
OCC#CC#CC#N,OCCCCCCN,113.5401851,6,10.3264849
OCC#CCCC#C,OCCCCCCC,140.7734026,4,6.943327818
OCC#CCCC#N,OCCCCCCN,100.0184225,4,6.884323264
COCC#CC#CC,COCCCCCC,135.4081934,4,6.943327818
COCC#CCC#C,COCCCCCC,145.1776789,4,6.943327818
COCC#CCC#N,COCCCCCN,101.7886659,4,6.884323264
OCCC#CCC#C,OCCCCCCC,139.8584159,4,6.943327818
OCCC#CCC#N,OCCCCCCN,99.59637338,4,6.884323264
CCCCC#CC#N,CCCCCCCN,97.82284812,4,7.002669265
CCOCC#CC#C,CCOCCCCC,139.487564,4,6.943327818
CCOCC#CC#N,CCOCCCCN,104.5218114,4,6.884323264
COCCC#CC#C,COCCCCCC,136.2385078,4,6.943327818
COCCC#CC#N,COCCCCCN,96.4582445,4,6.884323264
OCCCC#CC#C,OCCCCCCC,135.4449504,4,6.943327818
OCCCC#CC#N,OCCCCCCN,98.81134888,4,6.884323264
C#CC1CCC1C#N,CCC1CCC1CN,103.0915702,4,7.127447153
C#CC1CNC1C#N,CCC1CNC1CN,105.8312795,4,7.065285816
C#CC1COC1C#N,CCC1COC1CN,110.3399194,4,7.00488296
C#CC1NCC1C#N,CCC1NCC1CN,106.5749524,4,7.065285816
C#CC1OCC1C#N,CCC1OCC1CN,108.1062752,4,7.00488296
N#CC1CCC1C#N,NCC1CCC1CN,64.634559,4,7.065285816
N#CC1CNC1C#N,NCC1CNC1CN,68.6647015,4,7.004199372
N#CC1COC1C#N,NCC1COC1CN,70.67255262,4,6.944832099
C#CC(C#C)C1CN1,CCC(CC)C1CN1,145.1468293,4,7.127447153
C#CC(C#C)N1CC1,CCC(CC)N1CC1,146.5035564,4,7.127447153
C#CC(C#N)C1CC1,CCC(CN)C1CC1,105.9198901,4,7.127447153
C#CC(C#N)C1CN1,CCC(CN)C1CN1,104.064318,4,7.065285816
C#CC(C#N)C1CO1,CCC(CN)C1CO1,106.8808231,4,7.00488296
C#CC(C#N)N1CC1,CCC(CN)N1CC1,105.8476889,4,7.065285816
N#CC(C#N)C1CC1,NCC(CN)C1CC1,64.9312405,4,7.065285816
N#CC(C#N)N1CC1,NCC(CN)N1CC1,67.4884775,4,7.004199372
C#CC#CCC1CN1,CCCCCC1CN1,136.9395163,4,7.127447153
N#CC#CCC1CC1,NCCCCC1CC1,98.63084575,4,7.127447153
N#CC#CCC1CN1,NCCCCC1CN1,101.6672365,4,7.065285816
N#CC#CCC1CO1,NCCCCC1CO1,99.21830138,4,7.00488296
N#CC#CCN1CC1,NCCCCN1CC1,102.599289,4,7.065285816
C#CCC#CC1CN1,CCCCCC1CN1,141.777,4,7.127447153
N#CCC#CC1CC1,NCCCCC1CC1,99.7716255,4,7.127447153
N#CCC#CC1CN1,NCCCCC1CN1,102.872341,4,7.065285816
N#CCC#CC1CO1,NCCCCC1CO1,102.7213747,4,7.00488296
CC#CC#CC1CN1,CCCCCC1CN1,131.6353499,4,7.127447153
CC1C(C#C)C1C#C,CC1C(CC)C1CC,132.6789861,4,7.190712007
CC1C(C#C)C1C#N,CC1C(CC)C1CN,98.30265825,4,7.127447153
CC1C(C#N)C1C#N,CC1C(CN)C1CN,62.14886688,4,7.065285816
CN1C(C#C)C1C#C,CN1C(CC)C1CC,140.7399275,4,7.127447153
CN1C(C#C)C1C#N,CN1C(CC)C1CN,105.7689239,4,7.065285816
CN1C(C#N)C1C#N,CN1C(CN)C1CN,67.95778563,4,7.004199372
NC1C(C#C)C1C#N,NC1C(CC)C1CN,100.3249496,4,7.065285816
NC1C(C#N)C1C#N,NC1C(CN)C1CN,62.938486,4,7.004199372
OC1C(C#C)C1C#C,OC1C(CC)C1CC,140.012664,4,7.06598138
OC1C(C#C)C1C#N,OC1C(CC)C1CN,101.9133771,4,7.00488296
OC1C(C#N)C1C#N,OC1C(CN)C1CN,64.9837505,4,6.944832099
C#CC1CC1CC#N,CCC1CC1CCN,100.6006271,4,7.127447153
C#CC1CN1CC#N,CCC1CN1CCN,104.3564049,4,7.065285816
C#CC1NC1CC#N,CCC1NC1CCN,102.6373588,4,7.065285816
C#CC1OC1CC#N,CCC1OC1CCN,106.43777,4,7.00488296
C#CCC1CC1C#N,CCCC1CC1CN,101.3593966,4,7.127447153
C#CCC1NC1C#C,CCCC1NC1CC,145.0004576,4,7.127447153
C#CCC1NC1C#N,CCCC1NC1CN,102.8086726,4,7.065285816
C#CCC1OC1C#N,CCCC1OC1CN,105.9303921,4,7.00488296
C#CCN1CC1C#C,CCCN1CC1CC,142.758937,4,7.127447153
C#CCN1CC1C#N,CCCN1CC1CN,103.9409195,4,7.065285816
N#CCC1CC1C#N,NCCC1CC1CN,60.8302095,4,7.065285816
N#CCC1NC1C#N,NCCC1NC1CN,62.843968,4,7.004199372
N#CCC1OC1C#N,NCCC1OC1CN,65.93286875,4,6.944832099
N#CCN1CC1C#N,NCCN1CC1CN,68.01029562,4,7.004199372
CC#CC1CC1C#N,CCCC1CC1CN,98.020417,4,7.127447153
CC#CC1NC1C#C,CCCC1NC1CC,143.8570524,4,7.127447153
CC#CC1NC1C#N,CCCC1NC1CN,101.4814824,4,7.065285816
CC#CC1OC1C#N,CCCC1OC1CN,104.0925421,4,7.00488296
O=C1C=CCC1C#C,OC1CCCC1CC,107.8424125,4,7.06598138
O=C1C=CCC1C#N,OC1CCCC1CN,69.51208163,4,7.00488296
N=C1NC=NC1C#C,NC1NCNC1CC,100.7305894,4,7.004199372
O=C1CC=CC1C#C,OC1CCCC1CC,112.1758003,4,7.06598138
O=C1CC=CC1C#N,OC1CCCC1CN,74.09226638,4,7.00488296
O=C1NC=CC1C#C,OC1NCCC1CC,99.98035275,4,7.00488296
O=C1NC=NC1C#C,OC1NCNC1CC,89.10487538,4,6.944832099
O=C1OC=NC1C#C,OC1OCNC1CC,98.629533,4,6.886462756
N=C1OCC=C1C#C,NC1OCCC1CC,109.3645461,4,7.00488296
N=C1OCC=C1C#N,NC1OCCC1CN,73.63805488,4,6.944832099
O=C1CCC=C1C#C,OC1CCCC1CC,103.5096811,4,7.06598138
O=C1CCC=C1C#N,OC1CCCC1CN,66.98766338,4,7.00488296
O=C1NCC=C1C#C,OC1NCCC1CC,93.945641,4,7.00488296
O=C1NCC=C1C#N,OC1NCCC1CN,56.39508362,4,6.944832099
O=C1OCC=C1C#C,OC1OCCC1CC,99.75652888,4,6.945504148
O=C1OCC=C1C#N,OC1OCCC1CN,63.22007088,4,6.886462756
C#CC1=CN=CN=N1,CCC1CNCNN1,85.8391472,5,8.755249215
C#CC1=CN=NC=N1,CCC1CNNCN1,85.3991134,5,8.755249215
C#CC1=CN=NN=N1,CCC1CNNNN1,82.3635103,5,8.680200225
C#CC1=NC=CN=N1,CCC1NCCNN1,87.9190683,5,8.755249215
C#CC1=NC=NN=N1,CCC1NCNNN1,90.6417118,5,8.680200225
C#CCC1=CC=NN1,CCCC1CCNN1,78.959287,4,7.065285816
C#CCC1=CC=NO1,CCCC1CCNO1,90.9499455,4,7.00488296
C#CCC1=CN=NN1,CCCC1CNNN1,72.91669875,4,7.004199372
C#CCC1=CN=NO1,CCCC1CNNO1,82.2122815,4,6.944832099
C#CCC1=CNN=C1,CCCC1CNNC1,83.34059012,4,7.065285816
C#CCC1=CNN=N1,CCCC1CNNN1,71.702405,4,7.004199372
C#CCC1=CON=C1,CCCC1CONC1,90.700523,4,7.00488296
C#CCC1=CON=N1,CCCC1CONN1,81.0623125,4,6.944832099
C#CCC1=NC=NN1,CCCC1NCNN1,71.59344675,4,7.004199372
C#CCC1=NC=NO1,CCCC1NCNO1,78.84967238,4,6.944832099
C#CCC1=NNC=C1,CCCC1NNCC1,81.76660287,4,7.065285816
C#CCC1=NNC=N1,CCCC1NNCN1,74.32659225,4,7.004199372
C#CCC1=NNN=C1,CCCC1NNNC1,68.75856313,4,7.004199372
C#CCC1=NOC=C1,CCCC1NOCC1,88.65985312,4,7.00488296
C#CCC1=NOC=N1,CCCC1NOCN1,78.53461238,4,6.944832099
C#CCC1=NON=C1,CCCC1NONC1,76.05351487,4,6.944832099
C#CCC1=NON=N1,CCCC1NONN1,66.2387395,4,6.885802084
C#CCN1C=CC=N1,CCCN1CCCN1,83.863721,4,7.065285816
C#CCN1C=CN=N1,CCCN1CCNN1,77.252712,4,7.004199372
C#CCN1C=NC=N1,CCCN1CNCN1,73.79689763,4,7.004199372
C#CCN1C=NN=C1,CCCN1CNNC1,80.07906275,4,7.004199372
C#CCN1C=NN=N1,CCCN1CNNN1,65.038886,4,6.94416018
C#CCN1N=CC=N1,CCCN1NCCN1,71.47004825,4,7.004199372
C#CCN1N=CN=N1,CCCN1NCNN1,55.73345762,4,6.94416018
C#CCN1N=NN=N1,CCCN1NNNN1,50.56647363,4,6.885141538
CC#CC1=CC=NN1,CCCC1CCNN1,73.13920988,4,7.065285816
CC#CC1=CC=NO1,CCCC1CCNO1,86.93424325,4,7.00488296
CC#CC1=CN=NO1,CCCC1CNNO1,78.365924,4,6.944832099
CC#CC1=CNN=C1,CCCC1CNNC1,75.68594487,4,7.065285816
CC#CC1=CON=C1,CCCC1CONC1,83.72588225,4,7.00488296
CC#CC1=CON=N1,CCCC1CONN1,77.06695787,4,6.944832099
CC#CC1=NC=NO1,CCCC1NCNO1,75.67019187,4,6.944832099
CC#CC1=NNC=C1,CCCC1NNCC1,77.263214,4,7.065285816
CC#CC1=NNN=C1,CCCC1NNNC1,64.1540925,4,7.004199372
CC#CC1=NOC=C1,CCCC1NOCC1,85.00975175,4,7.00488296
CC#CC1=NON=N1,CCCC1NONN1,62.94570613,4,6.885802084
CC1=C(C=NN1)C#C,CC1C(CNN1)CC,79.60581638,4,7.065285816
CC1=C(C=NN1)C#N,CC1C(CNN1)CN,38.668364,4,7.004199372
CC1=C(C=NO1)C#C,CC1C(CNO1)CC,85.54338463,4,7.00488296
CC1=C(C=NO1)C#N,CC1C(CNO1)CN,47.49398225,4,6.944832099
CC1=C(N=NN1)C#C,CC1C(NNN1)CC,71.47858113,4,7.004199372
CC1=C(N=NN1)C#N,CC1C(NNN1)CN,31.7974305,4,6.94416018
CC1=C(N=NO1)C#C,CC1C(NNO1)CC,79.2402155,4,6.944832099
CC1=C(N=NO1)C#N,CC1C(NNO1)CN,42.527849,4,6.885802084
CC1=C(NN=C1)C#C,CC1C(NNC1)CC,80.21624512,4,7.065285816
CC1=C(NN=C1)C#N,CC1C(NNC1)CN,42.20031788,4,7.004199372
CC1=C(NN=N1)C#C,CC1C(NNN1)CC,70.9908945,4,7.004199372
CC1=C(NN=N1)C#N,CC1C(NNN1)CN,33.17516163,4,6.94416018
CC1=C(ON=C1)C#C,CC1C(ONC1)CC,89.886618,4,7.00488296
CC1=C(ON=C1)C#N,CC1C(ONC1)CN,55.55229812,4,6.944832099
CC1=C(ON=N1)C#C,CC1C(ONN1)CC,78.44665813,4,6.944832099
CC1=C(ON=N1)C#N,CC1C(ONN1)CN,48.07881238,4,6.885802084
CC1=CC(=NN1)C#C,CC1CC(NN1)CC,78.81685362,4,7.065285816
CC1=CC(=NN1)C#N,CC1CC(NN1)CN,40.24235125,4,7.004199372
CC1=CC(=NO1)C#C,CC1CC(NO1)CC,91.26041088,4,7.00488296
CC1=CC(=NO1)C#N,CC1CC(NO1)CN,52.0452865,4,6.944832099
CC1=CNN=C1C#C,CC1CNNC1CC,80.79385512,4,7.065285816
